language,author,title,length,unique
Portuguese,Branco,Estrellas Prop°cias,42534,12477
Portuguese,Branco,O Regicida,50153,14778
Portuguese,Branco,Agulha em Palheiro,42431,12760
Portuguese,Branco,A Neta do Arcediago,52288,14548
Portuguese,Branco,Carlota Angela,45604,13455
Portuguese,Branco,Livro de Consolação,52826,15870
Portuguese,Branco,Scenas Contemporaneas,47597,14394
Portuguese,Branco,Amor de Salvação,47209,14336
Portuguese,Branco,A Filha do Arcediago,70287,18237
Portuguese,Branco,Annos de Prosa,60833,16986
Portuguese,Branco,Amor de Perdição,46367,12883
Portuguese,Branco,O que fazem mulheres,39632,12315
Portuguese,Branco,Estrellas Funestas,46363,13449
Portuguese,Branco,A Queda d'um Anjo,47701,15132
Portuguese,Branco,O Olho de Vidro,43694,13179
Portuguese,Branco,Lagrimas Abenáoadas,44287,12621
Portuguese,Shakespeare,Hamlet,29860,9699
Portuguese,Dinis,Os fidalgos da Casa Mourisca,130069,27833
Portuguese,Dinis,Uma fam°lia ingleza,108766,26785
Portuguese,Dinis,A Morgadinha dos Cannaviaes,133340,30727
Portuguese,Queir¢s,O crime do padre Amaro,127392,29299
Portuguese,Queir¢s,O Mandarim,20384,7835
Portuguese,Queir¢s,A correspondància de Fradique Mendes,51672,16647
Portuguese,Queir¢s,A Illustre Casa de Ramires,96897,25352
Portuguese,Queir¢s,Cartas de Inglaterra,44006,13897
Portuguese,Queir¢s,O Primo Bazilio,105295,27643
Portuguese,Queir¢s,Os Maias,194097,40664
Portuguese,Queir¢s,A Rel°quia,76834,21398
Portuguese,Queir¢s,A Cidade e as Serras,64353,19229
German,Lessing,der junge gelehrte,25931,7230
German,Lessing,miss sara sampson,26179,7230
German,Lessing,emilia galotti,20438,6630
German,Lessing,philotas,8940,3277
German,Lessing,der freigeist,21676,6318
German,Lessing,die juden,12091,3886
German,Lessing,hamburgische dramaturgie,139860,29191
German,Lessing,minna von barnhelm,23817,7344
German,Shakespeare,Romeo und Julia,19576,7526
German,Shakespeare,Richard III,25243,9190
German,Shakespeare,Hamlet,30689,9641
German,Shakespeare,Ein Sommernachtstraum,15752,6443
German,Shakespeare,Othello,15996,6792
German,Shakespeare,Macbeth,18584,6749
German,Shakespeare,Der Kaufmann von Venedig,20138,7120
German,Schiller,Der Neffe als Onkel,12998,4415
German,Schiller,"Turandot, Prinzessin von China",20092,7549
German,Schiller,Die Huldigung der KÅnste,3633,1729
German,Schiller,Kabale und Liebe,28433,9968
German,Schiller,"Der Parasit, oder die Kunst, sein GlÅck zu machen",18515,6158
German,Schiller,die braut von messina,22349,6654
German,Schiller,Die Verschwîrung des Fiesco zu Genua,28042,10370
German,Schiller,Wallensteins Lager,13302,4378
German,Schiller,Die Jungfrau von Orleans,23955,8805
German,Schiller,Wallensteins Tod,32444,8648
German,Schiller,Die Piccolomini,23077,6762
German,Raimund,Das MÑdchen aus der Feenwelt,19752,6442
German,Raimund,Der Barometermacher auf der Zauberinsel,14507,5317
German,Raimund,Der Verschwender,22653,7422
German,Raimund,Der Alpenkînig und der Menschenfeind,20558,6995
German,Raimund,Der Diamant des Geisterkînigs,17179,5967
German,Raimund,Moisasurs Zauberfluch,16691,5737
German,Raimund,Die gefesselte Phantasie,15232,5822
German,Raimund,Die unheilbringende Krone,22482,7547
English,Shakespeare,The Merchant of Venice,19832,4977
English,Shakespeare,Romeo and Juliet,28593,5117
English,Shakespeare,Richard III,34288,5448
English,Shakespeare,Hamlet,26701,6775
English,Shakespeare,A Midsummer Night's Dream,15237,4344
English,Shakespeare,Othello,24740,5897
English,Shakespeare,Macbeth,15779,4779
