,village,adjmatrix_key,pid,hhid,resp_id,resp_gend,resp_status,age,religion,caste,subcaste,mothertongue,speakother,kannada,tamil,telugu,hindi,urdu,english,otherlang,educ,villagenative,native_name,native_type,native_taluk,native_district,res_time_yrs,res_time_mths,movereason,movecontact,movecontact_res,movecontact_hhid,movecontact_pid,movecontact_name,workflag,work_freq,work_freq_type,occupation,privategovt,work_outside,work_outside_freq,shgparticipate,shg_no,savings,savings_no,electioncard,rationcard,rationcard_colour
0,1,5,100201,1002,1,1,Head of Household,38,HINDUISM,OBC,THIGALA,KANNADA,No,No,No,No,No,No,No,,2ND STANDARD,Yes,,,,,,,,,,,,,Yes,6.0,DAYS PER WEEK,BUSINESS,PRIVATE BUSINESS,Yes,0.0,No,,No,,Yes,Yes,GREEN
1,1,6,100202,1002,2,2,Spouse of Head of Household,27,HINDUISM,OBC,THIGALA,KANNADA,No,No,No,No,No,No,No,,2ND STANDARD,No,data has been removed for publication,VILLAGE,data has been removed for publication,BANGALORE,16.0,,MARRIAGE,,,,,,No,,,,,,,No,,No,,Yes,Yes,GREEN
2,1,23,100601,1006,1,1,Head of Household,29,HINDUISM,OBC,VOKKALIGA,KANNADA,No,No,No,No,No,No,No,,7TH STANDARD,Yes,,,,,,,,,,,,,Yes,8.0,HOURS PER DAY,AGRICULTURE LABOUR,OTHER LAND,No,,No,,No,,Yes,Yes,GREEN
3,1,24,100602,1006,2,2,Spouse of Head of Household,24,HINDUISM,OBC,VOKKALIGA,KANNADA,No,No,No,No,No,No,No,,S.S.L.C.,No,data has been removed for publication,VILLAGE,data has been removed for publication,BANGALORE,6.0,,MARRIAGE,,,,,,Yes,8.0,HOURS PER DAY,TAILOR,PRIVATE BUSINESS,No,,Yes,1.0,Yes,1.0,Yes,No,
4,1,27,100701,1007,1,1,Head of Household,58,HINDUISM,OBC,VOKKALIGA,KANNADA,No,No,No,No,No,No,No,,S.S.L.C.,Yes,,,,,,,,,,,,,Yes,6.0,DAYS PER WEEK,AGRICULTURE CAUSUAL LABOUR,OTHER LAND,No,,No,,No,,Yes,Yes,GREEN
5,1,28,100702,1007,2,2,Spouse of Head of Household,40,HINDUISM,OBC,VOKKALIGA,KANNADA,No,No,No,No,No,No,No,,NONE,Yes,,,,,,,,,,,,,Yes,5.0,DAYS PER WEEK,AGRICULTURE,OWN LAND,No,,No,,No,,Yes,Yes,GREEN
6,1,33,100801,1008,1,1,Head of Household,54,HINDUISM,OBC,VOKKALIGA,KANNADA,Yes,No,No,Yes,No,No,No,,S.S.L.C.,No,data has been removed for publication,TOWN,data has been removed for publication,BANGALORE,35.0,0.0,WORK,Yes,Yes,1060.0,1.0,data has been removed for publication,Yes,8.0,HOURS PER DAY,AGRICULTURE,OWN,No,,No,,No,,Yes,Yes,GREEN
7,1,34,100802,1008,2,2,Spouse of Head of Household,45,HINDUISM,OBC,VOKKALIGA,KANNADA,No,No,No,No,No,No,No,,NONE,No,data has been removed for publication,VILLAGE,data has been removed for publication,BANGALORE RURAL,21.0,,WORK,Yes,Yes,1007.0,2.0,data has been removed for publication,Yes,6.0,DAYS PER WEEK,AGRICULTURE LABOUR,LAND LORD,No,,No,,No,,Yes,Yes,GREEN
8,1,37,100805,1008,5,2,Other,45,HINDUISM,OBC,VOKKALIGA,KANNADA,No,No,No,No,No,No,No,,S.S.L.C.,No,data has been removed for publication,TOWN,data has been removed for publication,BANGALORE,20.0,,MARRIAGE,,,,,,No,,,,,,,No,,No,,Yes,Yes,RED
9,1,38,100806,1008,6,1,Other,40,HINDUISM,OBC,VOKKALIGA,KANNADA,No,No,No,No,No,No,No,,S.S.L.C.,Yes,,,,,,,,,,,,,Yes,6.0,DAYS PER WEEK,FACTORY WORKER,GOVERNMENT,No,,No,,No,,Yes,Yes,RED
10,1,39,100807,1008,7,1,Other,40,HINDUISM,OBC,VOKKALIGA,KANNADA,No,No,No,No,No,No,No,,8TH STANDARD,Yes,,,,,,,,,,,,,Yes,6.0,DAYS PER WEEK,FACTORY WORKER,PRIVATE BUSINESS,No,,No,,No,,Yes,Yes,RED
11,1,40,100808,1008,8,2,Other,35,HINDUISM,OBC,VOKKALIGA,KANNADA,No,No,No,No,No,No,No,,S.S.L.C.,No,data has been removed for publication,TOWN,data has been removed for publication,BANGALORE,9.0,,MARRIAGE,,,,,,No,,,,,,,No,,No,,Yes,Yes,RED
12,1,57,101301,1013,1,2,Head of Household,55,HINDUISM,SCHEDULED CASTE,ADI KARNATAKA,KANNADA,No,No,No,No,No,No,No,,NONE,No,data has been removed for publication,VILLAGE,data has been removed for publication,BANGALORE,30.0,,MARRIAGE,,,,,,Yes,5.0,DAYS PER WEEK,AGRICULTURE LABOUR,LAND LORD,No,,No,,No,,Yes,Yes,GREEN
13,1,58,101302,1013,2,2,Other,25,HINDUISM,SCHEDULED CASTE,ADI KARNATAKA,KANNADA,No,No,No,No,No,No,No,,5TH STANDARD,Yes,,,,,,,,,,,,,Yes,5.0,DAYS PER WEEK,AGRICULTURE LABOUR,LAND LORD,No,,No,,No,,Yes,Yes,GREEN
14,1,59,101303,1013,3,2,Other,20,HINDUISM,SCHEDULED CASTE,ADI KARNATAKA,KANNADA,No,No,No,No,No,No,No,,6TH STANDARD,Yes,,,,,,,,,,,,,No,,,,,,,No,,No,,Yes,Yes,GREEN
15,1,71,101601,1016,1,1,Head of Household,45,HINDUISM,SCHEDULED CASTE,ADI KARNATAKA,KANNADA,No,No,No,No,No,No,No,,9TH STANDARD,No,data has been removed for publication,VILLAGE,data has been removed for publication,BANGALORE RURAL,19.0,,MARRIAGE,,,,,,Yes,8.0,HOURS PER DAY,AGRICULTURE,OWN,No,,No,,No,,Yes,Yes,YELLOW
16,1,72,101602,1016,2,2,Spouse of Head of Household,35,HINDUISM,SCHEDULED CASTE,ADI KARNATAKA,KANNADA,No,No,No,No,No,No,No,,S.S.L.C.,Yes,,,,,,,,,,,,,Yes,8.0,HOURS PER DAY,AGRICULTURE,OWN,No,,Yes,1.0,Yes,1.0,Yes,Yes,YELLOW
17,1,86,102001,1020,1,1,Head of Household,50,HINDUISM,OBC,VOKKALIGA,KANNADA,No,No,No,No,No,No,No,,4TH STANDARD,Yes,,,,,,,,,,,,,Yes,4.0,DAYS PER WEEK,AGRICULTURE,OWN,No,,No,,Yes,1.0,Yes,Yes,GREEN
18,1,87,102002,1020,2,2,Spouse of Head of Household,45,HINDUISM,OBC,VOKKALIGA,KANNADA,No,No,No,No,No,No,No,,NONE,No,data has been removed for publication,VILLAGE,data has been removed for publication,BANGALORE,30.0,0.0,MARRIAGE,,,,,,Yes,3.0,DAYS PER WEEK,AGRICULTURE LABOUR,LAND LORD,No,,No,,No,,Yes,Yes,GREEN
19,1,89,102004,1020,4,2,Other,24,HINDUISM,OBC,VOKKALIGA,KANNADA,No,No,No,No,No,No,No,,S.S.L.C.,Yes,,,,,,,,,,,,,No,,,,,,,No,,Yes,1.0,Yes,Yes,GREEN
20,1,90,102101,1021,1,1,Head of Household,65,HINDUISM,OBC,VOKKALIGA,KANNADA,No,No,No,No,No,No,No,,7TH STANDARD,Yes,,,,,,,,,,,,,Yes,6.0,DAYS PER WEEK,CONSTRUCTION WORK,OTHERS,Yes,0.0,No,,No,,Yes,Yes,GREEN
21,1,91,102102,1021,2,2,Spouse of Head of Household,60,HINDUISM,OBC,VOKKALIGA,KANNADA,No,No,No,No,No,No,No,,NONE,No,data has been removed for publication,VILLAGE,data has been removed for publication,BANGALORE,40.0,0.0,MARRIAGE,,,,,,Yes,8.0,HOURS PER DAY,AGRICULTURE,OWN,No,,No,,No,,Yes,Yes,GREEN
22,1,92,102103,1021,3,1,Other,43,HINDUISM,OBC,VOKKALIGA,KANNADA,No,No,No,No,No,No,No,,7TH STANDARD,Yes,,,,,,,,,,,,,Yes,8.0,HOURS PER DAY,DAILY LABOUR,OTHERS,Yes,0.0,No,,No,,Yes,Yes,GREEN
23,1,93,102104,1021,4,2,Other,35,HINDUISM,OBC,VOKKALIGA,KANNADA,No,No,No,No,No,No,No,,7TH STANDARD,No,data has been removed for publication,VILLAGE,data has been removed for publication,BANGALORE,6.0,,MARRIAGE,,,,,,No,,,,,,,No,,No,,Yes,Yes,GREEN
24,1,110,102401,1024,1,1,Head of Household,40,HINDUISM,OBC,VOKKALIGA,KANNADA,No,No,No,No,No,No,No,,NONE,Yes,,,,,,,,,,,,,Yes,6.0,DAYS PER WEEK,HAND LOOMS,OTHERS,No,,No,,No,,Yes,Yes,YELLOW
25,1,111,102402,1024,2,2,Spouse of Head of Household,35,HINDUISM,OBC,VOKKALIGA,KANNADA,No,No,No,No,No,No,No,,NONE,No,data has been removed for publication,CITY,,TUMKUR,3.0,,MARRIAGE,,,,,,No,,,,,,,No,,No,,Yes,Yes,YELLOW
26,1,128,102901,1029,1,1,Head of Household,35,HINDUISM,OBC,THIGALA,KANNADA,No,No,No,No,No,No,No,,NONE,Yes,,,,,,,,,,,,,Yes,7.0,DAYS PER WEEK,COOLIE AGRICULTURE,OTHERS LAND LORDS,No,,No,,No,,Yes,Yes,YELLOW
27,1,129,102902,1029,2,2,Spouse of Head of Household,31,HINDUISM,OBC,THIGALA,KANNADA,No,No,No,No,No,No,No,,NONE,No,data has been removed for publication,VILLAGE,data has been removed for publication,BANGALORE RURAL,12.0,0.0,MARRIAGE,,,,,,No,,,,,,,Yes,1.0,Yes,1.0,Yes,Yes,YELLOW
